filename,notes,authors,licenses,urls
"body/bodies/male/walk.png","see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16, JaidynReiman, Benjamin K. Smith (BenCreating), Evert, Eliza Wyatt (ElizaWy), TheraHedwig, MuffinElZangano, Durrani, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-male-jumping-animation-by-durrani, https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle, https://opengameart.org/content/lpc-revised-character-basics, https://opengameart.org/content/lpc-be-seated, https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads, https://opengameart.org/content/lpc-jump-expanded, https://opengameart.org/content/lpc-character-bases"
"head/heads/human/male/walk.png","original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles, https://opengameart.org/content/lpc-character-bases"
"head/faces/male/neutral/walk.png","Original by Redshrike, Expressions by ElizaWy, mapped to all frames by JaidynReiman","JaidynReiman, ElizaWy, Stephen Challener (Redshrike)","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Head, https://opengameart.org/content/ulpc-expanded-expressions"
"beards/beard/trimmed/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"hair/bangslong/adult/walk.png","","JaidynReiman, Manuel Riecke (MrBeast)","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites, https://opengameart.org/content/lpc-expanded-hair"
"facial/glasses/nerd/adult/walk/black.png","Original by Pennomi, repositioning and recolors by JaidynReiman.","JaidynReiman, Thane Brimhall (pennomi), laetissima","CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-base-character-expressions"
"torso/clothes/longsleeve/longsleeves2/male/walk.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male/standalone sleeves adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","http://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"torso/jacket/trim/frock_buttons/walk/bronze.png","","bluecarrot16","OGA-BY 3.0","https://opengameart.org/content/lpc-pirates"
"torso/clothes/shortsleeve/tshirt/male/walk.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"legs/cuffed/male/walk.png","Original bases by Redshrike, thrust/shoot bases by Wulax, original overalls by ElizaWy, base animations adapted from v3 overalls by bluecarrot16, pants by JaidynReiman","JaidynReiman, ElizaWy, Bluecarrot16, Johannes Sjölund (wulax), Stephen Challener (Redshrike)","OGA-BY 3.0, GPL 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-pants"
